Game,Console,Until
A Bastard’s Tale,Check,Check
A Boy and His Blob,Check,Check
ABZU,Check,Check
Aces of the Luftwaffe,Check,Check
Act It Out! A Game Of Charades,Check,Check
Active Soccer 2 DX,Check,Check
Adam’s Venture: Origins,Check,Check
ADR1FT,Check,Check
Adventure Time: Pirates of the Enchiridion,Check,Check
Aegis of Earth: Protonovus Assault,Check,Check
Agatha Christie - The ABC Murders,Check,Check
Air Conflicts - Secret Wars,Check,Check
Air Conflicts: Pacific Carriers,Check,Check
Air Conflicts: Vietnam,Check,Check
Air Conflicts: Vietnam Ultimate Edition,Check,Check
AKIBA'S BEAT,Check,Check
Akiba's Trip: Undead and Undressed,Check,Check
Alchemic Jousts,Check,Check
Alex Kidd in Miracle World,Check,Check
Alienation,Check,Check
Alien Rage,Check,Check
Alien Spidy,Check,Check
All Zombies Must Die!,Check,Check
Alone in the Dark: Inferno,Check,Check
Altered Beast,Check,Check
Amazing Discoveries in Outer Space,Check,Check
Anarchy: Rush Hour,Check,Check
Anna Extended Edition,Check,Check
Anodyne,Check,Check
Anomaly 2,Check,Check
Anomaly Warzone Earth,Check,Check
Another World: 20th Anniversary Edition,Check,Check
APB Reloaded,Check,Check
Ape Escape 2,Check,Check
Aqua Panic!,Check,Check
Ar Nosurge: Ode to an Unborn Star,Check,Check
Aragami,Check,Check
Arc the Lad: Twilight of the Spirits,Check,Check
Arcana Heart 3,Check,Check
Arcana Heart 3: Love Max!!!,Check,Check
ArcaniA - The Complete Tale,Check,Check
Armageddon Riders,Check,Check
Asdivine Hearts,Check,Check
Assault Suit Leynos,Check,Check
Assetto Corsa,Check,Check
Asura's Wrath,Check,Check
Atari Flashback Classics Vol 1,Check,Check
Atari Flashback Classics Vol 2,Check,Check
Atelier Ayesha,Check,Check
Atelier Escha & Logy,Check,Check
Atelier Rorona Plus,Check,Check
Atelier Shallie: Alchemists of the Dusk Sea,Check,Check
Azkend 2,Check,Check
Back to Bed,Check,Check
Backgammon Blitz,Check,Check
Bard’s Gold,Check,Check
Baja: Edge of Control,Check,Check
Bang Bang Racing,Check,Check
Baseball Riot,Check,Check
Batman: Arkam Asylum,Check,Check
Batman: Arkham City,Check,Check
Batman: Arkham Knight,Check,Check
Batman: Arkham Origins,Check,Check
Battalion Commander,Check,Check
Battle Chasers: Nightwar,Check,Check
Battle Fantasia,Check,Check
BATTLE OF TILES EX,Check,Check
Battle Princess of Arcadias,Check,Check
Battle Worlds: Kronos,Check,Check
Battlefield 4,Check,Check
Battlefield Hardline,Check,Check
Bellator MMA Onslaught,Check,Check
Ben 10,Check,Check
Bentley's Hackpack,Check,Check
BEYOND: Two Souls with Advanced Experiments DLC,Check,Check
Big Sky: Infinity,Check,Check
Bionic Commando: Rearmed,Check,Check
Bionic Commando: Rearmed 2,Check,Check
Bioshock,Check,Check
BioShock 2,Check,Check
BioShock Infinite,Check,Check
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Check,Check
Black Knight Sword,Check,Check
Black Mirror,Check,Check
Bladestorm: Nightmare,Check,Check
Bladestorm: The Hundred Years War,Check,Check
BlazBlue: Calamity Trigger,Check,Check
BlazBlue: Central Fiction,Check,Check
BlazBlue: Chrono Phantasma,Check,Check
