Game,Console,Until
ACT IT OUT! Ein Scharadespiel,PS4,TBD
Action Henk,PS4,TBD
Agatha Christie - The ABC Murders,PS4,TBD
Air Conflicts Vietnam Ultimate Edition,PS4,TBD
Air Conflicts: Pacific Carriers - PlayStation®4 Edition,PS4,TBD
Alchemic Jousts,PS4,TBD
Alex Kidd in Miracle World™,PS3,TBD
Alien Rage Bundle,PS3,TBD
Alien Spidy,PS3,TBD
ALIENATION™,PS4,TBD
Altered Beast,PS3,TBD
Amazing Discoveries In Outer Space,PS4,TBD
Anarchy: Rush Hour,PS3,TBD
Anna – Extended Edition,PS3,TBD
Anodyne,PS4,TBD
Anomaly 2,PS4,TBD
Anomaly Warzone Earth,PS3,TBD
Ape Escape 2,PS2,TBD
Aqua Panic!,PS3,TBD
Ar nosurge: Ode to an Unborn Star,PS3,TBD
Aragami,PS4,TBD
Arc the Lad: Twilight of the Spirits,PS2,TBD
ArcaniA - The complete tale,PS3,TBD
Armageddon Riders,PS3,TBD
Assault Suit Leynos,PS4,TBD
Assetto Corsa,PS4,TBD
Atari Flashback Classics Vol. 1,PS4,TBD
Atari Flashback Classics Vol. 2,PS4,TBD
Atelier Ayesha: The Alchemist of Dusk,PS3,TBD
Atelier Escha and Logy  ~Alchemists of the Dusk Sky~,PS3,TBD
Atelier Rorona Plus: The Alchemist of Arland,PS3,TBD
Atelier Shallie ~Alchemists of the Dusk Sea~,PS3,TBD
Back to Bed Game and Dynamic Theme Bundle,PS3,TBD
Baja: Edge of Control HD,PS4,TBD
Bard's Gold,PS4,TBD
Baseball Riot,PS4,TBD
Batman - The Telltale Series - Episode 1: Realm of Shadows,PS4,TBD
Batman: Arkham City,PS3,TBD
Batman: Arkham Knight,PS4,TBD
Battalion Commander,PS4,TBD
Battle Chasers: Nightwar,PS4,TBD
Battle Princess of Arcadias,PS3,TBD
Battle Worlds: Kronos,PS4,TBD
Battlefield 4™,PS3,TBD
Ben 10,PS4,TBD
Bentleys Hack-Paket™,PS3,TBD
BEYOND: Two Souls™,PS4,TBD
Binaries,PS4,TBD
BIONIC COMMANDO REARMED,PS3,TBD
Bionic Commando™ Rearmed 2,PS3,TBD
BioShock Infinite,PS3,TBD
Black Mirror,PS4,TBD
BLADESTORM: Nightmare,PS3,TBD
Bladestorm: The Hundred Years' War,PS3,TBD
Blast 'Em Bunnies,PS4,TBD
BlazBlue Chronophantasma Extend,PS4,TBD
BLAZBLUE　CHRONOPHANTASMA,PS3,TBD
BlazeRush,PS3,TBD
Blood Bowl 2,PS4,TBD
Blood Knights,PS3,TBD
Bloodborne™,PS4,TBD
BloodRayne: Betrayal,PS3,TBD
Bodycount,PS3,TBD
BOKOSUKA WARS II,PS4,TBD
Bolt PS3™,PS3,TBD
BOMBERMAN ULTRA,PS3,TBD
Borderlands 2 Ultimate Edition,PS3,TBD
Borderlands: The Handsome Collection,PS4,TBD
Bound by Flame™,PS4,TBD
Bound™,PS4,TBD
Braid,PS3,TBD
Brawlout,PS4,TBD
Broken Age,PS4,TBD
Brothers: a Tale of two Sons,PS4,TBD
Brut@l,PS4,TBD
Bubsy: The Woolies Strike Back,PS4,TBD
CAPCOM ARCADE CABINET: KOMPLETTPAKET,PS3,TBD
Castle Invasion: Throne Out,PS4,TBD
CastleStorm Definitive Edition,PS4,TBD
Castlevania: Harmony of Despair,PS3,TBD
Catherine,PS3,TBD
Champion Jockey: G1 Jockey and Gallop Racer,PS3,TBD
Chess Ultra,PS4,TBD
Chronicles of Teddy: Harmony of Exidus,PS4,TBD
Cities: Skylines - PlayStation®4 Edition,PS4,TBD
Clockwork Tales: Of Glass and Ink,PS4,TBD
Clouds and Sheep 2,PS4,TBD
Control Standard Edition,PS4,31.08.2020
Costume Quest 2,PS4,TBD
CounterSpy™,PS3,TBD
Crash Commando™,PS3,TBD
Crazy Taxi,PS3,TBD
Crimsonland,PS4,TBD
Critter Crunch,PS3,TBD
Croixleur Sigma,PS4,TBD
Cuboid,PS3,TBD
Dandara: Trials of Fear Edition,PS4,TBD
Danger Zone,PS4,TBD
Dangerous Golf™,PS4,TBD
Dark Arcana: The Carnival,PS4,TBD
Dark Chronicle™,PS2,TBD
Dark Cloud™,PS2,TBD
Dark Mist™,PS3,TBD
Darksiders II Deathinitive Edition,PS4,TBD
Darksiders Warmastered Edition,PS4,TBD
Darkstalkers™ Resurrection,PS3,TBD
Day of the Tentacle Remastered,PS4,TBD
Daytona USA,PS3,TBD
de Blob,PS4,TBD
de Blob 2,PS3,TBD
Dead Island Retro Revenge,PS4,TBD
Dead Nation™: Apocalypse Edition,PS4,TBD
Dead or Alive 5 Ultimate Full Version Unlock,PS3,TBD
Dead Space™ 3,PS3,TBD
Deadlight: Director's Cut,PS4,TBD
Deadly Premonition: Director's Cut,PS3,TBD
Death Track: Resurrection,PS3,TBD
Deception IV: Blood Ties,PS3,TBD
Deception IV: The Nightmare Princess,PS3,TBD
Defense Grid 2,PS4,TBD
Der Puppenspieler™,PS3,TBD
Desert Child,PS4,TBD
Destroy All Humans!,PS2,TBD
Devil May Cry® HD Collection,PS3,TBD
DiRT 4,PS4,TBD
DiRT Rally,PS4,TBD
Disgaea D2: A Brighter Darkness,PS3,TBD
Dishonored: Die Maske des Zorns,PS3,TBD
Dishonered 2,PS4,TBD
Disney Universe Ultimate Edition,PS3,TBD
Disney · PIXAR Toy Story Mania!,PS3,TBD
Disney•Pixar Merida Legende der Highlands,PS3,TBD
Doki-Doki Universe™,PS4,TBD
Don Bradman Cricket 14,PS3,TBD
"Don't Die, Mr. Robot!",PS4,TBD
DOOM,PS4,TBD
Double Dragon Neon Full Game Upgrade,PS3,TBD
Duke Nukem Forever,PS3,TBD
Dungeons 2,PS4,TBD
Dynamite Fishing – World Games,PS4,TBD
DYNASTY WARRIORS 6,PS3,TBD
Dynasty Warriors 6 Empires,PS3,TBD
Dynasty Warriors 7,PS3,TBD
DYNASTY WARRIORS 7 Empires,PS3,TBD
DYNASTY WARRIORS 7: Xtreme Legends,PS3,TBD
Dynasty Warriors 8,PS3,TBD
Dynasty Warriors 8: Xtreme Legends,PS3,TBD
Dynasty Warriors Strikeforce,PS3,TBD
Earth Defense Force 4.1: The Shadow of New Despair,PS4,TBD
EARTH'S DAWN,PS4,TBD
echochrome,PS3,TBD
Electronic Super Joy,PS4,TBD
Elefunk™,PS3,TBD
Enigmatis 2: The Mists of Ravenwood,PS4,TBD
Enigmatis: The Ghosts of Maple Creek,PS4,TBD
Entwined™,PS3,TBD
Escape Plan™,PS4,TBD
Ethan: Meteor Hunter,PS3,TBD
Eufloria,PS3,TBD
EVE: Valkyrie – Warzone,PS4,TBD
Eventide: Slavic Fable,PS4,TBD
Everybody's Golf®,PS3,TBD
Everybody’s Gone to the Rapture™,PS4,TBD
Everybody’s Tennis,PS2,TBD
Exile's End,PS4,TBD
Exist Archive: The Other Side of the Sky,PS4,TBD
Extreme Exorcism,PS3,TBD
F1 RACE STARS™,PS3,TBD
F1® 2019,PS4,TBD
F1™ 2014,PS3,TBD
F1™ 2015,PS4,TBD
F1™ 2016,PS4,TBD
F1™ 2017,PS4,TBD
Faery: Legends of Avalon,PS3,TBD
Fairy Fencer F: Advent Dark Force,PS4,TBD
Fallout 4,PS4,TBD
FantaVision,PS2,TBD
Fat Princess™ Adventures,PS4,TBD
Fighting Vipers,PS3,TBD
Final Exam,PS3,TBD
Final Fight: Double Impact,PS3,TBD
Flower,PS3,TBD
flOw™,PS3,TBD
FLUSTER CLUCK™,PS4,TBD
FOR HONOR™ STANDARD EDITION,PS4,TBD
Forbidden Siren,PS2,TBD
Frogger Returns,PS3,TBD
Gal*Gun: Double Peace,PS4,TBD
GAME OF YEAR EDITION,PS3,TBD
GAROU: MARK OF THE WOLVES™,PS4,TBD
Gem Smashers,PS4,TBD
Get Even,PS4,TBD
Giana Sisters: Twisted Dreams – Director’s Cut,PS4,TBD
God of War III™,PS3,TBD
God of War: Ascension™,PS3,TBD
God of War® HD,PS3,TBD
God of War® II HD,PS3,TBD
God of War® III Remastered,PS4,TBD
God of War®: Chains of Olympus,PS3,TBD
God of War®: Ghost of Sparta,PS3,TBD
Golden Axe,PS3,TBD
Grand Ages: Medieval,PS4,TBD
Grand Kingdom,PS4,TBD
Gravity Crash™ Unlock Key,PS3,TBD
Gravity Rush™ 2,PS4,TBD
Gravity Rush™ Remastered,PS4,TBD
Greg Hastings Paintball 2,PS3,TBD
GRID Autosport,PS3,TBD
Grim Fandango Remastered,PS4,TBD
Grim Legends: The Forsaken Bride,PS4,TBD
GUILTY GEAR Xrd -REVELATOR-,PS4,TBD
Hakuoki: Stories of the Shinsengumi,PS3,TBD
Hamilton's Great Adventure - Vollversion,PS3,TBD
Hamsterball,PS3,TBD
Hardware: Rivals,PS4,TBD
Heavy Rain™,PS4,TBD
Hohokum™,PS3,TBD
Hollow Knight: Voidheart-Edition,PS4,TBD
Hotel Transylvania 3 Monster Über Bord,PS4,TBD
How to Survive: Storm Warning Edition,PS4,TBD
Hunter's Trophy 2 - America,PS3,TBD
Hunter's Trophy 2 - Australia,PS3,TBD
Hustle Kings™,PS3,TBD
I am Bread,PS4,TBD
"I, Zombie",PS4,TBD
ibb and obb,PS3,TBD
ICO™ Classics HD,PS3,TBD
In Space We Brawl,PS3,TBD
inFAMOUS™,PS3,TBD
inFAMOUS™ 2,PS3,TBD
inFAMOUS™: Festival of Blood – Vollversion,PS3,TBD
Injustice: Götter unter uns - Ultimate Edition,PS3,TBD
Inside My Radio,PS4,TBD
Invizimals™: Das verlorene Königreich,PS3,TBD
Ironcast,PS4,TBD
Jetpack Joyride Deluxe,PS3,TBD
Joe Dever’s Lone Wolf Console Edition,PS4,TBD
Judge Dee - The City God Case,PS3,TBD
Just Cause 4 - Standard Edition,PS4,06.10.2020
KickBeat Special Edition,PS4,TBD
Killzone®,PS3,TBD
KILLZONE™ SHADOW FALL,PS4,TBD
Kinetica,PS2,TBD
King Oddball,PS4,TBD
Kingdom: New Lands,PS4,TBD
KNACK™,PS4,TBD
Knytt Underground™,PS3,TBD
Krinkle Krusher,PS4,TBD
Kromaia Ω,PS4,TBD
Kung Fu Rabbit,PS3,TBD
Landwirtschafts-Simulator 15,PS4,TBD
Landwirtschafts-Simulator 17,PS4,TBD
Landwirtschafts-Simulator 19,PS4,TBD
Legasista,PS3,TBD
Legend of Kay Anniversary,PS4,TBD
LEGO® Batman™ 2: DC Super Heroes,PS3,TBD
LEGO® BATMAN™ 3:JENSEITS VON GOTHAM,PS4,TBD
LEGO® CITY Undercover,PS4,TBD
LEGO® Harry Potter™ Die Jahre 5-7,PS3,TBD
LEGO® Pirates of the Caribbean PS3,PS3,TBD
LEGO® Worlds,PS4,04.08.2020
Leo's Fortune,PS4,TBD
Lernen mit den PooYoos - Teil 1,PS3,TBD
LIMBO,PS4,TBD
Linger in Shadows™,PS3,TBD
LittleBigPlanet™ 3,PS4,TBD
Lock's Quest,PS4,TBD
LocoRoco Cocoreccho!™,PS3,TBD
LocoRoco™ Remastered,PS4,TBD
Lone Survivor: The Director's Cut,PS4,TBD
Lords of the Fallen,PS4,TBD
Lost Planet 3,PS3,TBD
Lost Sea,PS4,TBD
Lovely Planet,PS4,TBD
LUMO,PS4,TBD
Machinarium,PS3,TBD
Mafia III,PS4,TBD
Magic Orbz,PS3,TBD
Magicka 2,PS4,TBD
Magus,PS3,TBD
Mahjong Tales: Ancient Wisdom,PS3,TBD
Mantis Burn Racing,PS4,TBD
Mars: War logs,PS3,TBD
Marvel’s Spider-Man,PS4,07.07.2020
MasterCube,PS4,TBD
MEGA MAN 10,PS3,TBD
MEGA MAN 9,PS3,TBD
Megadimension Neptunia VII,PS4,TBD
Metal Gear Rising: Revengeance,PS3,TBD
Metal Gear Solid HD Collection,PS3,TBD
Metal Gear Solid V: Ground Zeroes,PS4,TBD
Metal Gear Solid V: The Phantom Pain,PS4,TBD
METAL SLUG 3,PS4,TBD
Metro 2033 Redux,PS4,TBD
Metro: Last Light Redux,PS4,TBD
Metro Exodus,PS4,02.11.2020
Minutes™,PS4,TBD
Mirror's Edge,PS3,TBD
Mitsurugi Kamui Hikae,PS4,TBD
Mittelerde™: Mordors Schatten™,PS4,TBD
Momonga Pinball Adventures,PS4,TBD
Monkey Island™ 2 Special Edition: LeChuck's Revenge™,PS3,TBD
Monster Energy Supercross - The Official Videogame,PS4,TBD
Mordheim: City of the Damned,PS4,TBD
MotoGP™15,PS3,TBD
MotoGP™17,PS4,TBD
Motorcycle Club,PS3,TBD
MotorStorm® Apocalypse,PS3,TBD
MotorStorm® RC Komplett-Edition,PS3,TBD
Mount and Blade: Warband,PS4,TBD
MudRunner,PS4,TBD
MX vs ATV: Alive,PS3,TBD
MX vs. ATV Supercross Encore,PS4,TBD
MXGP - The Official Motocross Videogame,PS3,TBD
MXGP2 - The Official Motocross Videogame,PS4,TBD
MXGP3 - The Official Motocross Videogame,PS4,TBD
Mystery Chronicle: One Way Heroics,PS4,TBD
NASCAR Heat 3,PS4,TBD
NASCAR Heat 4,PS4,TBD
NAtURAL DOCtRINE,PS4,TBD
NBA 2K18,PS4,TBD
Need for Speed™ Rivals,PS3,TBD
Neon Chrome,PS4,TBD
NeuroVoider,PS4,TBD
Nidhogg,PS4,TBD
Nightmares from the Deep 2: The Siren's Call,PS4,TBD
Nightmares from the Deep: The Cursed Heart,PS4,TBD
NiGHTS into dreams…,PS3,TBD
Nights of Azure,PS4,TBD
Nights of Azure 2: Bride of the New Moon,PS4,TBD
NINJA GAIDEN® SIGMA 2,PS3,TBD
Ninja Pizza Girl,PS4,TBD
No Time To Explain,PS4,TBD
NOBUNAGA'S AMBITION: Sphere of Influence,PS3,TBD
Nova-111,PS3,TBD
Numblast™,PS3,TBD
Obliteracers,PS4,TBD
Oddworld: Stranger's Wrath HD - PS3,PS3,TBD
OKAGE: Shadow King,PS2,TBD
OlliOlli2: Welcome to Olliwood,PS4,TBD
Omega Quintet,PS4,TBD
Order Up!!,PS3,TBD
Overcooked! 2,PS4,TBD
Overlord Gefährten des Bösen,PS4,TBD
Painkiller - Hell and Damnation,PS3,TBD
Pang Adventures,PS4,TBD
Papo and Yo Volle Spiel,PS3,TBD
PAYDAY 2: CRIMEWAVE EDITION.,PS4,TBD
Pharaonic,PS4,TBD
Phineas und Ferb quer durch die 2. Dimension,PS3,TBD
Pid,PS3,TBD
Pillars of Eternity: Complete Edition,PS4,TBD
Pix the Cat,PS4,TBD
Pixel Heroes: Byte and Magic,PS4,TBD
Pixel Piracy,PS4,TBD
PixelJunk™ Nom Nom Galaxy,PS4,TBD
PixelJunk™ Racers: Runde 2,PS3,TBD
PixelJunk™ Shooter,PS3,TBD
PixelJunk™ Shooter 2,PS3,TBD
PixelJunk™ Shooter Ultimate,PS4,TBD
Piyotama™,PS3,TBD
Plague Road,PS4,TBD
Planet Minigolf™,PS3,TBD
PONCHO,PS4,TBD
Pool Nation,PS3,TBD
Port Royale 3,PS3,TBD
Prey,PS4,TBD
Primal,PS2,TBD
Proteus,PS3,TBD
Pumped BMX +,PS3,TBD
Pure Hold'em World Poker Championship,PS4,TBD
Pure Pool,PS4,TBD
Puzzle Agent,PS3,TBD
Puzzle Fighter HD,PS3,TBD
QUANTUM THEORY,PS3,TBD
R-Type Dimensions,PS3,TBD
Rad Rodgers,PS4,TBD
Rag Doll Kung Fu™: Fists of Plastic,PS3,TBD
Ragnarok Odyssey ACE,PS3,TBD
Raiden IV: OverKill,PS3,TBD
Raiden V: Director's Cut,PS4,TBD
Rainbow Moon,PS4,TBD
rain™,PS3,TBD
Rapala Fishing: Pro Series,PS4,TBD
Ratchet & Clank™: QForce,PS3,TBD
Ratchet and Clank™: A Crack In Time,PS3,TBD
Ratchet and Clank™: All 4 One,PS3,TBD
Ratchet and Clank™: Nexus (PS3),PS3,TBD
Ratchet and Clank™: Quest for Booty,PS3,TBD
RDR Undead Nightmare,PS3,TBD
Real Farm,PS4,TBD
Realms Of Ancient War,PS3,TBD
Rebel Galaxy,PS4,TBD
Red Dead Redemption,PS3,TBD
Red Faction,PS2,TBD
Red Faction Guerrilla Re-Mars-tered,PS4,TBD
Red Faction II,PS2,TBD
Red Johnson's Chronicles - Einer gegen alle,PS3,TBD
Renegade Ops™,PS3,TBD
RESIDENT EVIL CODE: Veronica X,PS3,TBD
Resident Evil Operation Raccoon City,PS3,TBD
Resident Evil: The Darkside Chronicles,PS3,TBD
Resident Evil™ Revelations,PS3,TBD
RESOGUN™,PS3,TBD
Retro/Grade,PS3,TBD
Reus,PS4,TBD
Ricochet HD,PS3,TBD
RIDE,PS3,TBD
RIDE 3,PS4,TBD
Riff: Everyday Shooter™,PS3,TBD
Risen 3: Titan Lords - Enhanced Edition,PS4,TBD
RIVE,PS4,TBD
Rocket League®,PS4,TBD
Rocketbirds: Hardboiled Chicken,PS3,TBD
Rogue Galaxy™,PS2,TBD
Rogue Stormers,PS4,TBD
Romance of The Three Kingdoms 13,PS4,TBD
Sacred Citadel,PS3,TBD
Saints Row 2,PS3,TBD
Saints Row IV: Re-Elected,PS4,TBD
Saints Row: Gat out of Hell,PS4,TBD
SAMURAI WARRIORS 4,PS3,TBD
Savage Moon™,PS3,TBD
SBCG4AP Episode 1: Homestar Ruiner,PS3,TBD
SBCG4AP Episode 2: Strong Badia the Free,PS3,TBD
SBCG4AP Episode 3: Baddest of the Bands,PS3,TBD
Seasons after Fall,PS4,TBD
Sébastien Loeb Rally EVO,PS4,TBD
Shadow Complex Remastered,PS4,TBD
Shadow of the Beast™,PS4,TBD
Shadow of the Colossus™ Classics HD,PS3,TBD
Shadow of the Tomb Raider,PS4,31.08.2020
Shadwen,PS4,TBD
Shatter™,PS3,TBD
Sherlock Holmes : The Devil's Daughter,PS4,TBD
Shiness: The Lightning Kingdom,PS4,TBD
Sine Mora EX,PS4,TBD
Skullgirls Encore,PS3,TBD
Sky Fighter™,PS3,TBD
Skydive: Proximity Flight,PS3,TBD
SkyScrappers,PS4,TBD
Slime-san: Superslime Edition,PS4,TBD
