Game,Console,Until
,PS4,TBD
"A BOY AND HIS BLOB",PS4,TBD
"ABZÛ",PS4,TBD
"ACES OF THE LUFTWAFFE",PS4,TBD
"ACT IT OUT! A GAME OF CHARADES",PS4,TBD
"ACTION HENK",PS4,TBD
"ADVENTURE TIME: PIRATES OF THE ENCHIRIDION",PS4,TBD
"AGATHA CHRISTIE - THE ABC MURDERS",PS4,TBD
"AIR CONFLICTS VIETNAM ULTIMATE EDITION",PS4,TBD
"AIR CONFLICTS: PACIFIC CARRIERS",PS4,TBD
"ALCHEMIC JOUSTS",PS4,TBD
"ALEX KIDD IN THE MIRACLE WORLD",PS4,TBD
"ALIEN RAGE ",PS4,TBD
"ALIEN SPIDY ",PS4,TBD
"ALTERED BEAST",PS4,TBD
"ALIENATION",PS4,TBD
"AMAZING DISCOVERIES IN OUTER SPACE",PS4,TBD
"ANOMALY 2",PS4,TBD
ANODYNE,PS4,TBD
,PS4,TBD
,PS4,TBD
"ANARCHY: RUSH HOUR",PS4,TBD
"ANNA EXTENDED EDITION",PS4,TBD
"ANOMALY WARZONE EARTHAPE ESCAPE 2 (PS2 Classics)",PS4,TBD
"AQUA PANIC!",PS4,TBD
"ARAGAMI",PS4,TBD
"ARC THE LAD: TWILIGHT OF THE SPIRITS (PS2 Classics) ",PS4,TBD
"AR NOSURGE: ODE TO AN UNBORN STAR",PS4,TBD
"ARCANA HEART 3",PS4,TBD
"ARCANIA THE COMPLETE TALE",PS4,TBD
"ARMAGEDDON RIDERS",PS4,TBD
"ASSAULT SUIT LEYNOS",PS4,TBD
"ASSETTO CORSA",PS4,TBD
"ASURA'S WRATH",PS4,TBD
"ATARI FLASHBACK CLASSICS VOL 1",PS4,TBD
"ATARI FLASHBACK CLASSICS VOL. 2",PS4,TBD
"ATELIER AYESHA: THE ALCHEMIST OF DUSK",PS4,TBD
"ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY",PS4,TBD
"ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND",PS4,TBD
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS4,TBD
,PS4,TBD
,PS3,TBD
"ALEX KIDD IN THE MIRACLE WORLD",PS3,TBD
"ALIEN RAGE ",PS3,TBD
"ALIEN SPIDY ",PS3,TBD
"ALTERED BEAST",PS3,TBD
"ANARCHY: RUSH HOUR",PS3,TBD
"ANNA EXTENDED EDITION",PS3,TBD
"ANOMALY WARZONE EARTH",PS3,TBD
"AQUA PANIC! ",PS3,TBD
"AR NOSURGE: ODE TO AN UNBORN STAR",PS3,TBD
"ARCANA HEART 3",PS3,TBD
"ARCANIA THE COMPLETE TALE",PS3,TBD
"ARMAGEDDON RIDERS",PS3,TBD
"ASURA'S WRATH",PS3,TBD
"ATELIER AYESHA: THE ALCHEMIST OF DUSK",PS3,TBD
"ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY",PS3,TBD
"ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND",PS3,TBD
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,TBD
,PS3,TBD
,PS4,TBD
"BACK TO BED",PS4,TBD
"BAJA: EDGE OF CONTROL HD",PS4,TBD
"BARD'S GOLD",PS4,TBD
"BASEBALL RIOT",PS4,TBD
"BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS",PS4,TBD
"BATTALION COMMANDER",PS4,TBD
"BATTLE CHASERS: NIGHTWAR",PS4,TBD
"BATTLE WORLDS KRONOS",PS4,TBD
"BATTLEBORN",PS4,TBD
"BEN 10",PS4,TBD
"BEYOND: TWO SOULS",PS4,TBD
"BINARIES",PS4,TBD
"BLACK MIRROR",PS4,TBD
"BLAST 'EM BUNNIES",PS4,TBD
"BLAZBLUE CHRONOPHANTASMA EXTEND",PS4,TBD
"BLOOD BOWL 2",PS4,TBD
"BLOODBORNE",PS4,TBD
"BOKOSUKA WARS II",PS4,TBD
"BORDERLANDS: THE HANDSOME COLLECTION",PS4,TBD
"BOUND",PS4,TBD
"BOUND BY FLAME",PS4,TBD
"BRAWLOUT",PS4,TBD
"BROKEN AGE",PS4,TBD
"BROTHERS: A TALE OF TWO SONS",PS4,TBD
"BRUT@L",PS4,TBD
BUBSY: THE WOOLIES STRIKE BACK,PS4,TBD
,PS4,TBD
,PS3,TBD
"BATMAN: ARKHAM ASYLUM GAME OF THE YEAR",PS3,TBD
"BATMAN: ARKHAM CITY",PS3,TBD
"BATMAN: ARKHAM ORIGINS",PS3,TBD
"BATTLE PRINCESS OF ARCADIAS",PS3,TBD
"BATTLE VS CHESS",PS3,TBD
"BATTLEFIELD 4",PS3,TBD
"BATTLEFIELD™ HARDLINE",PS3,TBD
"BENTLEY'S HACKPACK",PS3,TBD
"BIG SKY:INFINITY ",PS3,TBD
"BIONIC COMMANDO REARMED",PS3,TBD
"BIONIC COMMANDO REARMED 2",PS3,TBD
"BIOSHOCK",PS3,TBD
"BIOSHOCK 2",PS3,TBD
"BIOSHOCK INFINITE",PS3,TBD
"BLACK KNIGHT SWORD",PS3,TBD
"BLADESTORM -  NIGHTMARE",PS3,TBD
"BLADESTORM: THE HUNDRED YEARS' WAR",PS3,TBD
"BLAZBLUE CALAMITY TRIGGER",PS3,TBD
"BLAZBLUE CHRONOPHANTASMA",PS3,TBD
"BLAZBLUE CONTINUUM SHIFT",PS3,TBD
"BLAZBLUE CONTINUUM SHIFT EXTEND",PS3,TBD
