Game,Console,Until,Europe,US
Game,Console,TBD,yes,no
.DETUNED,PS3,TBD,yes,yes
A BOY AND HIS BLOB,PS4,TBD,yes,yes
ABZÛ,PS4,TBD,yes,yes
ACES OF THE LUFTWAFFE,PS4,TBD,yes,yes
ACT IT OUT! A GAME OF CHARADES,PS4,TBD,yes,yes
ACTION HENK,PS4,TBD,yes,no
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,TBD,yes,yes
AGATHA CHRISTIE - THE ABC MURDERS,PS4,TBD,yes,yes
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,TBD,yes,yes
AIR CONFLICTS: PACIFIC CARRIERS,PS4,TBD,yes,yes
ALCHEMIC JOUSTS,PS4,TBD,yes,yes
ALEX KIDD IN THE MIRACLE WORLD,PS3,TBD,yes,no
ALEX KIDD IN THE MIRACLE WORLD,PS4,TBD,yes,no
ALIEN RAGE ,PS3,TBD,yes,yes
ALIEN RAGE ,PS4,TBD,yes,yes
ALIEN SPIDY ,PS3,TBD,yes,yes
ALIEN SPIDY ,PS4,TBD,yes,yes
ALIENATION,PS4,TBD,yes,yes
ALTERED BEAST,PS3,TBD,yes,yes
ALTERED BEAST,PS4,TBD,yes,yes
AMAZING DISCOVERIES IN OUTER SPACE,PS4,TBD,yes,yes
ANARCHY: RUSH HOUR,PS3,TBD,yes,yes
ANARCHY: RUSH HOUR,PS4,TBD,yes,yes
ANNA EXTENDED EDITION,PS3,TBD,yes,yes
ANNA EXTENDED EDITION,PS4,TBD,yes,yes
ANODYNE,PS4,TBD,yes,yes
ANOMALY 2,PS4,TBD,yes,yes
ANOMALY WARZONE EARTH,PS3,TBD,yes,yes
ANOMALY WARZONE EARTHAPE ESCAPE 2 (PS2 Classics),PS2/PS4,TBD,yes,no
AQUA PANIC!,PS4,TBD,yes,yes
AQUA PANIC! ,PS3,TBD,yes,yes
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,TBD,yes,yes
AR NOSURGE: ODE TO AN UNBORN STAR,PS4,TBD,yes,yes
ARAGAMI,PS4,TBD,yes,yes
ARC THE LAD: TWILIGHT OF THE SPIRITS (PS2 Classics) ,PS2/PS4,TBD,yes,no
ARCANA HEART 3,PS3,TBD,yes,yes
ARCANA HEART 3,PS4,TBD,yes,yes
ARCANIA THE COMPLETE TALE,PS3,TBD,yes,yes
ARCANIA THE COMPLETE TALE,PS4,TBD,yes,yes
ARMAGEDDON RIDERS,PS3,TBD,yes,yes
ARMAGEDDON RIDERS,PS4,TBD,yes,yes
ASSAULT SUIT LEYNOS,PS4,TBD,yes,yes
ASSETTO CORSA,PS4,TBD,yes,yes
ASURA'S WRATH,PS3,TBD,yes,yes
ASURA'S WRATH,PS4,TBD,yes,yes
ATARI FLASHBACK CLASSICS VOL 1,PS4,TBD,yes,yes
ATARI FLASHBACK CLASSICS VOL. 2,PS4,TBD,yes,yes
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,TBD,yes,no
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS4,TBD,yes,no
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,TBD,yes,no
